idOwner,nameOwner,bornDateOwner,petTypeOwner
5429127078,Joshua,1991-06-07,Little brown bat
"1587235153,Clem,1994-01-22,""Tortoise, radiated"""
"2485072167,Yolanthe,1992-02-05,""Tortoise, asian foreset"""
"6532404306,Turner,1991-08-24,""Monitor, two-banded"""
"5038796591,Melvyn,1990-06-21,""Armadillo, nine-banded"""
"0770128467,Paula,1998-02-18,""Beaver, american"""
0622764497,Petr,1991-03-24,Black spider monkey
6995280733,Jone,1990-12-27,Short-nosed bandicoot
"8555273846,Jedd,2000-02-19,""Puffin, horned"""
"4544602858,Justis,2000-07-17,""Cliffchat, mocking"""
2254447785,Iain,1992-11-22,Western palm tanager (unidentified)
"0016144171,Adelbert,1999-10-09,""Pheasant, common"""
5463584737,Dewey,1995-02-24,Southern screamer
6901945523,Horton,1995-04-03,Violet-eared waxbill
"6092481006,Devlin,1999-05-18,""Cockatoo, red-tailed"""
3410773940,Allan,1992-10-20,Clark's nutcracker
"3457094039,Gaye,1996-09-02,""Cormorant, little"""
"6422842163,Raffaello,1996-09-02,""Dove, mourning collared"""
"8999570193,Halley,1992-09-16,""Loris, slender"""
